id|content|labels
AEG_Electrolux_60840_Lavamat__Opinion_1506705|programa especial ropa sensible planchado fácil función especial tiempo cercano punto fuerte señal acústico lugar visible carga máximo consumo máximo|5
AEG_Electrolux_62610_Lavamat__Opinion_2000923|carga superior punto medio color blanco carga frontal|4
AEG_Electrolux_L14800VI__Opinion_2005396|carga superior forma frontal programa majo eficiencia energético lavadora solo|5
AEG_Electrolux_L6227FL__Opinion_2140710|modelo electrolux|4
AEG_Electrolux_L62280FL__Opinion_2151025|clasificación energético sonido bajo conversación normal sonido considerable prenda vaquero producto interesante|4
AEG_Electrolux_L62642VI__Opinion_1995158|ficha tecnica programa especial prenda delicado|5
AEG_Electrolux_L62642VI__Opinion_1995791|habitación principal control electrónico clasificación energético humedad residual|4
AEG_Electrolux_L70470FL__Opinion_2085167|clasificación energético fase anterior lavado rápido suna gran|4
AEG_Electrolux_L74650__Opinion_1856967|capazidad grande|3
AEG_Electrolux_L85275XFL__Opinion_2138100|temperatura medio ciclo medio factor determinante ropa impecable valoracuón general|5
AEG_Electrolux_L_14950_A__Opinion_2103767|empresa alemán agua eléctrico plancha eléctrico tetera eléctrico imagen corporativo producto eléctrico carga frontal lavadora semanal eficiencia energético color blanco ropa listo tiempo restante|4
AEG_Electrolux_L_47185__Opinion_1492496|lavadora nuevo tipo energético carga igual|4
AEG_Electrolux_L_47185__Opinion_1818711|carga lateral carga superior mas caro|1
AEG_Electrolux_L_47186__Opinion_1370192|eta lavador carga superior ropa listo|4
AEG_Electrolux_L_47330_A__Opinion_2087353|lavadora normal persona principal acero inoxidable acero inoxidable|4
AEG_Electrolux_L_5214__Opinion_1437024|detalle técnico punto central carga máximo categoría energético lavado clásico proceso completo coeficiente energético lavado típico carga pleno prenda delicado programa ecológico centrifugado directo cosa importante consumo energético hora intempestivo dato técnico programa clásico dato objetivo|5
AEG_Electrolux_L_62825__Opinion_1469992| |4
AEG_Electrolux_L_70270_FL__Opinion_2090317|mancha difícil ropa delicado lavadora normal clase energético programa extra carga frontal sistema ultra programación electrónico x ancho|4
AEG_Electrolux_L_70270_FL__Opinion_2143750|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_70270_FL__Opinion_2150873|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_70270_FL__Opinion_2152723| |4
AEG_Electrolux_L_70810__Opinion_1263244|uso electronico lavadora viejo|4
AEG_Electrolux_L_70810__Opinion_1277946|tiempo remanente programación electrónico control automático sistema automático|5
AEG_Electrolux_L_70810__Opinion_1284085|manejo diario|5
AEG_Electrolux_L_70810__Opinion_1372777|capacidad generoso aspecto exterior anchura exacto pata regulable enganche metálico color rojo tejido resistente capacidad máximo tejido sintético tejido delicado display digital programa adicional aclarado adicional cubeta especial cosa interesante minuto aprox motivo fundamental sistema antivibración centrifugado intermedio ruido mayor manera normal lavadora alemán|3
AEG_Electrolux_L_70810__Opinion_1848780|mancha gris esla lavador uso suavizante ropa blanco servicio tecnico|3
AEG_Electrolux_L_70850__Opinion_1448444|acero inoxidable principio atractivo familia normal crisis demográfico mercado lavador detergente mayor rendimiento general dispositivo específico prenda delicado iluminación interior tarea doméstico|4
AEG_Electrolux_L_70850__Opinion_2007327|tamaño medio parte superior color azul color blanco parte superior pequeño gran circuito lógico carga lleno empresa culpable electrodoméstico alemán agua eléctrico plancha eléctrico tetera eléctrico identidad corporativo producto industrial producto eléctrico identidad corporativo acero inoxidable color blanco ojo humano led blanco brillante diferente|5
AEG_Electrolux_L_725500__Opinion_1791610|manera sincero clasificación energético tiempo remanente presencia bonito consumo energético|4
AEG_Electrolux_L_725500__Opinion_1794746|producto similar|4
AEG_Electrolux_L_725500__Opinion_1799021| |1
AEG_Electrolux_L_725500__Opinion_1860273|reparación vitrocerámicas reparación secador reparación frigorífico repararsu electrodoméstico|5
AEG_Electrolux_L_725500__Opinion_1860286|reparación vitrocerámicas reparación secador reparación frigorífico repararsu electrodoméstico|5
AEG_Electrolux_L_725500__Opinion_1860309|reparación vitrocerámicas reparación secador reparación frigorífico repararsu electrodoméstico|5
AEG_Electrolux_L_72750__Opinion_2004685|gama baja-media uso diario pantalla digital|3
AEG_Electrolux_L_72810_7KG__Opinion_1150075|ropa mixto centrifugado extra|4
AEG_Electrolux_L_72810_7KG__Opinion_1316686|tiempo justo ropa sinteticas ropa delicado|5
AEG_Electrolux_L_72810_7KG__Opinion_1348145|programa diferente tiempo remanente programación electrónico control automático sistema antiespuma carga extra-grande función especial plancha fácil|5
AEG_Electrolux_L_72810_7KG__Opinion_1351141|cambio radical cantidad industrial sistema antivibración control electrónico display retro sistema antivibración|4
AEG_Electrolux_L_72810_7KG__Opinion_1368354|calidad excelente programa especial|5
AEG_Electrolux_L_72810_7KG__Opinion_1368360|servicio técnico año justo vez igual servicio técnico escándalo tremendo servicio técnico|2
AEG_Electrolux_L_72810_7KG__Opinion_1383545|uso normal carga variable forma automático gama medio situación personal tejido delicado|4
AEG_Electrolux_L_72810_7KG__Opinion_1389592|ropa limpisima|5
AEG_Electrolux_L_72810_7KG__Opinion_1413877|programa diferente tiempo remanente programación electrónico control automático sistema antiespuma carga extra-grande función especial plancha fácil|4
AEG_Electrolux_L_72810_7KG__Opinion_1429675| |4
AEG_Electrolux_L_72850_M__Opinion_1432475|color blanco clasificación energético iluminación interior sistema antiespuma|4
AEG_Electrolux_L_72850_M__Opinion_1554703|lavadora nuevo cantidad excesivo|2
AEG_Electrolux_L_72850_M__Opinion_1631999|lavadora nuevo ruido terrible producto defectuoso|2
AEG_Electrolux_L_72850_M__Opinion_1659921|candidato perfecto planchado facil lavado economico|4
AEG_Electrolux_L_72850_M__Opinion_1679190|servicio oficial cuba entero|1
AEG_Electrolux_L_72850_M__Opinion_1724036|envío rápido mas económico|5
AEG_Electrolux_L_72850_M__Opinion_1859657|garantía solo|2
AEG_Electrolux_L_72850_M__Opinion_1984926|prenda solo|2
AEG_Electrolux_L_72950__Opinion_1544270|programa rapido aspecto moderno señor dependiente dependiente seguro busca bueno|5
AEG_Electrolux_L_72950__Opinion_1809693|carga superior forma preciso humidificación rápido forma rápido ciuda mejor detección automático programa especial plancha fácil tejido grueso|4
AEG_Electrolux_L_72950__Opinion_1822141| |5
AEG_Electrolux_L_72950__Opinion_1835319|marca duradero vida util precio bajo calidad regular mas accesible|4
AEG_Electrolux_L_72950__Opinion_1840330|mas economicas garantia fiable|5
AEG_Electrolux_L_72950__Opinion_1860264|reparación vitrocerámicas reparación secador reparación frigorífico repararsu electrodoméstico|5
AEG_Electrolux_L_74950_M__Opinion_1621410|resultado excepcional programa economicos resultado perfecto|5
AEG_Electrolux_L_74950_M__Opinion_1781454|camino fácil|4
AEG_Electrolux_L_74950_M__Opinion_1855361|invierno tardo día siguiente cantidad normal lavado económico eta lavador|5
AEG_Electrolux_L_74950_M__Opinion_1860252|reparación vitrocerámicas reparación secador reparación frigorífico repararsu electrodoméstico|5
AEG_Electrolux_L_74950_M__Opinion_1860288|reparación vitrocerámicas reparación secador reparación frigorífico repararsu electrodoméstico|5
AEG_Electrolux_L_74950_M__Opinion_1860306|reparación vitrocerámicas reparación secador reparación frigorífico repararsu electrodoméstico|5
AEG_Electrolux_L_74950_M__Opinion_1987186|lavadora anterior eficiencia energético plancha fácil|5
AEG_Electrolux_L_74950_M__Opinion_2035893|carga necesario prueba claro aclarado extra grado centígrado ropa gris|2
AEG_Electrolux_L_75280_FL__Opinion_1966279|color blanco clasificación energético iluminación interior sistema antiespuma|4
AEG_Electrolux_L_75280_FL__Opinion_2022526|cliente contento móvil directo|5
AEG_Electrolux_L_75280_FL__Opinion_2028746|cliente contento móvil directo|5
AEG_Electrolux_L_75280_FL__Opinion_2029866|día laboral ropa blanco agua caliente prenda blanco tela blanco|5
AEG_Electrolux_L_75280_FL__Opinion_2090646|consumo energetico malo solo aparato electrico causa fallo|3
AEG_Electrolux_L_75280_FL__Opinion_2093157|familia numeroso sistema mecánico vida útil eficiencia energético precio competitivo|3
AEG_Electrolux_L_75280_FL__Opinion_2095493|espacio extra pantalla digital parte inferior|5
AEG_Electrolux_L_75280_FL__Opinion_2096227|personal técnico cliente contento móvil directo|5
AEG_Electrolux_L_75280_FL__Opinion_2099968|personal técnico cliente contento móvil directo|5
AEG_Electrolux_L_75280_FL__Opinion_2101605|personal técnico cliente contento móvil directo|5
AEG_Electrolux_L_75280_FL__Opinion_2103966|personal técnico cliente contento móvil directo|5
AEG_Electrolux_L_75280_FL__Opinion_2111531|personal técnico cliente contento móvil directo|5
AEG_Electrolux_L_75280_FL__Opinion_2111547|personal técnico recargo aelectroluxuno cliente contento móvil directo|5
AEG_Electrolux_L_75280_FL__Opinion_2114246|personal técnico cliente contento móvil directo|5
AEG_Electrolux_L_75280_FL__Opinion_2120225|recargo aedesauno móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2121981| |3
AEG_Electrolux_L_75280_FL__Opinion_2123574|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2125244|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2126315|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2126587|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2131062|carga frontal|5
AEG_Electrolux_L_75280_FL__Opinion_2133661|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2134325|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2134987|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2135613|ropa duro servicio técnico fallo técnico experiencia nefasto gama anterior|1
AEG_Electrolux_L_75280_FL__Opinion_2138350|modo rápido pieza disponible mas potente|3
AEG_Electrolux_L_75280_FL__Opinion_2138469|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2141101|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2143809|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2148045|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2149649|recargo aelectroluxuno móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2150853|recargo aaeguno móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|4
AEG_Electrolux_L_75280_FL__Opinion_2155089|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_75280_FL__Opinion_2157155|albacete alicante almeria asturias badajoz barcelona burgo ceuta cádiz cantabria ciudad real cuenca girona granada guadalajara murcia navarro pontevedra salamanca tarragona teruel servicio tecnico frigo combi seca secador carga refrigerante madrid barcelona parte posterior parte posterior parte posterior parte posterior parte inferior servicio técnico servicio tecnico vaillant calentador servicio tecnico|5
AEG_Electrolux_L_75280_FL__Opinion_2158394|personal técnico cliente contento móvil directo|5
AEG_Electrolux_L_87490_FL__Opinion_1998465|límite energético sistema ultrasilencioso programación electrónico control automático iluminación interior humidificación rápido sistema automático carga extra-grande programa especial extra silencioso|4
AEG_Electrolux_L_87490_FL__Opinion_2125506|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_L_87490_FL__Opinion_2132269|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
AEG_Electrolux_Lavamat_5_0__Opinion_2111345|corporación sueco uso doméstico placa vitrocerámicas color blanco acero inoxidable mas bonito precio real|5
AEG_Electrolux_Lavamat_76460_TL__Opinion_2000263|programa fácil eficiencia energético|4
AEG_Electrolux_Lavamat_76460_TL__Opinion_2026265|carga superior servicio técnico|5
AEG_Electrolux_Lavamat_84950__Opinion_1511679|ropa seco|5
AEG_Electrolux_Lavamat_Lavalogic_1620__Opinion_1390436|ojo enorme cosa grande|5
